,Unnamed: 0,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
1493,1493,59.99,30.77,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.3876,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/fxHNuQeOuO9G9h,4.19.0-ipanema-g9ba5ed25b696,i44,1578.74,2.56,8315.1443
1494,1494,8.9,6.05,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0111,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/IqkY1pCxL5uNz4,4.19.0-ipanema-g9ba5ed25b696,i44,262.68,2.47,10580.7632
1495,1495,8.9,6.07,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0157,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/AWFaCQLWNLoj03,4.19.0-ipanema-g9ba5ed25b696,i44,538.12,2.45,10536.3687
1496,1496,23.95,13.67,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0292,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/zV4LTw6R6lr5Id,4.19.0-ipanema-g9ba5ed25b696,i44,1879.37,2.57,9358.3329
1497,1497,58.92,30.72,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.051,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/Mt49KV25gJAzBk,4.19.0-ipanema-g9ba5ed25b696,i44,1643.19,2.5,8331.4616
1498,1498,5.0,3.74,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.0051,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/HfXPAInNxwBHvd,4.19.0-ipanema-g9ba5ed25b696,i44,126.98,2.59,8550.0593
1499,1499,23.95,13.69,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.022,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/52UHkuW49tGQX1,4.19.0-ipanema-g9ba5ed25b696,i44,736.41,2.56,9347.5469
1500,1500,23.95,13.57,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0233,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/JI1N4Mxc8eapTt,4.19.0-ipanema-g9ba5ed25b696,i44,469.17,2.45,9432.3763
1501,1501,8.9,6.05,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0114,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/3TU3YToQoSXLuk,4.19.0-ipanema-g9ba5ed25b696,i44,652.34,2.52,10568.35
1502,1502,23.95,13.67,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0293,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/oBXJxzAnq4HHmA,4.19.0-ipanema-g9ba5ed25b696,i44,699.47,2.44,9359.0637
1503,1503,5.37,3.76,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.0061,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/uzdXcomaPBgkq0,4.19.0-ipanema-g9ba5ed25b696,i44,126.85,2.54,8504.8129
1504,1504,58.92,30.73,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.4837,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/8IBwyBUWervQZQ,4.19.0-ipanema-g9ba5ed25b696,i44,1588.73,2.57,8326.1019
1505,1505,8.9,6.03,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0109,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/htNTjjJgSYhKBj,4.19.0-ipanema-g9ba5ed25b696,i44,369.21,2.49,10602.1451
1506,1506,5.37,3.81,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.0054,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/6stUrbTMQyU8oE,4.19.0-ipanema-g9ba5ed25b696,i44,771.19,2.52,8399.1868
1507,1507,8.9,6.04,sysbench 1.1.0,cfs_wwc_flat scheduling policy,64,300.0105,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/Q9TyyVlscL3Bxy,4.19.0-ipanema-g9ba5ed25b696,i44,150.41,2.56,10585.5903
1508,1508,23.95,13.74,sysbench 1.1.0,cfs_wwc_flat scheduling policy,128,300.0227,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/hPziZ60LkQBzKL,4.19.0-ipanema-g9ba5ed25b696,i44,1242.17,2.47,9310.5602
1509,1509,5.28,3.74,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.0101,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/4DFev06HYlxNSj,4.19.0-ipanema-g9ba5ed25b696,i44,127.53,2.49,8546.4579
1510,1510,5.28,3.86,sysbench 1.1.0,cfs_wwc_flat scheduling policy,32,300.0049,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/CF9gGDHPNEn3Yr,4.19.0-ipanema-g9ba5ed25b696,i44,103.26,2.59,8296.2785
1511,1511,58.92,30.54,sysbench 1.1.0,cfs_wwc_flat scheduling policy,256,300.0536,mysql 8.0.15,cfs_wwc_flat scheduling policy,/home/dc/storage/i44/mysql/8.0.15/eb81a6ceeaf93653072722765e8a70a5/data/6nVdUaascgdOIR,4.19.0-ipanema-g9ba5ed25b696,i44,1446.54,2.54,8379.1274
